verification,session name,country code,place (optional),date (YYYYMMDD),spacing (m),shape,gps correction,bathy (yes/no),video (yes/no),photog (yes/no),Stockage,observation,Team,comment,arthur_comment
v1,20231127_REU-HERMITAGE_ASV-1_01,REU,Pente externe Hermitage,20231127,2,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202311_plancha_session,projet PLANCHA/BIOEOS,"MR, AL, SB",,
v1,20231127_REU-HERMITAGE_ASV-1_02,REU,Pente externe Hermitage,20231127,2,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202311_plancha_session,projet PLANCHA/BIOEOS,"MR, AL, SB",,
v1,20231127_REU-HERMITAGE_ASV-1_03,REU,Pente externe Hermitage,20231127,2,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202311_plancha_session,projet PLANCHA/BIOEOS,"MR, AL, SB",,
v1,20231127_REU-HERMITAGE_ASV-2_01,REU,Pente externe Hermitage,20231127,2,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202311_plancha_session,projet PLANCHA/BIOEOS,"MR, AL, SB",,
v1,20231127_REU-HERMITAGE_ASV-2_02,REU,Pente externe Hermitage,20231127,2,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202311_plancha_session,projet PLANCHA/BIOEOS,"MR, AL, SB",,
v1,20231127_REU-HERMITAGE_ASV-2_03,REU,Pente externe Hermitage,20231127,2,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202311_plancha_session,projet PLANCHA/BIOEOS,"MR, AL, SB","""filt_exclude_specific_timeUS"": [[641643950, 700444139]]",
v1,20231128_REU-HERMITAGE_ASV-1_01,REU,Pente externe Hermitage,20231128,5,grid,PPK with a Reach base connected to Centipede,yes,no,no,202311_plancha_session,projet PLANCHA/BIOEOS,"MR, SB, VI",,
v1,20231128_REU-CAP-HOMARD_ASV-1_01,REU,Cap Homard,20231128,2,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202311_plancha_session,projet PLANCHA/BIOEOS,"MR, SB, VI",,
v2,20231128_REU-CAP-HOMARD_ASV-1_02,REU,Cap Homard,20231128,2,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202311_plancha_session,projet PLANCHA/BIOEOS,"MR, SB, VI",PPK Q2 80%,
v1,20231128_REU-CAP-HOMARD_ASV-2_01,REU,Cap Homard,20231128,2,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202311_plancha_session,projet PLANCHA/BIOEOS,"MR, SB, VI",,
v1,20231128_REU-CAP-HOMARD_ASV-2_02,REU,Cap Homard,20231128,2,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202311_plancha_session,projet PLANCHA/BIOEOS,"MR, SB, VI",,
v1,20231129_REU-HERMITAGE_ASV-1_01,REU,Pente externe Hermitage,20231129,2,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202311_plancha_session,projet PLANCHA/BIOEOS,"MR, VI, AL",,
v1,20231129_REU-ST-GILLES-CANYON_ASV-1_01,REU,Saint gilles Canyon,20231129,2,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202311_plancha_session,projet PLANCHA/BIOEOS,"MR, VI, AL",,
v1,20231129_REU-HERMITAGE_ASV-2_01,REU,Pente externe Hermitage,20231129,2,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202311_plancha_session,projet PLANCHA/BIOEOS,"MR, VI, AL",,
v1,20231129_REU-ST-GILLES-CANYON_ASV-2_01,REU,Saint gilles Canyon,20231129,2,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202311_plancha_session,projet PLANCHA/BIOEOS,"MR, VI, AL",,
v1,20231203_REU-TROU-DEAU_ASV-1_01,REU,TROU-DEAU,20231203,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD",,
v3,20231204_REU-TROU-DEAU_ASV-1_01,REU,TROU-DEAU,20231204,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD, VI","""filt_exclude_specific_timeUS"": [[1634042114, 1688042187]]",
v3,20231204_REU-TROU-DEAU_ASV-1_02,REU,TROU-DEAU,20231204,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD, VI","""filt_exclude_specific_timeUS"": [[254128829, 306328872]]",
v1,20231204_REU-TROU-DEAU_ASV-1_03,REU,TROU-DEAU,20231204,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD, VI",,
v1,20231204_REU-TROU-DEAU_ASV-1_04,REU,TROU-DEAU,20231204,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD, VI",,
v1,20231204_REU-TROU-DEAU_ASV-2_01,REU,TROU-DEAU,20231204,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD, VI",,
v1,20231204_REU-TROU-DEAU_ASV-2_02,REU,TROU-DEAU,20231204,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD, VI",,
v1,20231205_REU-HERMITAGE_ASV-1_01,REU,Hermitage,20231205,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD, VI",,
v1,20231205_REU-HERMITAGE_ASV-1_02,REU,Hermitage,20231205,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD, VI",petit trou dans la bathy,
v1,20231205_REU-HERMITAGE_ASV-2_01,REU,Hermitage,20231205,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD, VI",,
v1,20231205_REU-HERMITAGE_ASV-2_02,REU,Hermitage,20231205,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD, VI",,
v1,20231205_REU-HERMITAGE_ASV-2_03,REU,Hermitage,20231205,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD, VI",,
v3,20231205_REU-HERMITAGE_ASV-2_04,REU,Hermitage,20231205,1,linear,PPK with a Reach base connected to Centipede,yes,no,no,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD, VI","""filt_exclude_specific_timeUS"": [[495310534, 668310539]]",
v1,20231207_REU-HERMITAGE_ASV-1_01,REU,Hermitage,20231207,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD, VI",,
v1,20231207_REU-HERMITAGE_ASV-1_02,REU,Hermitage,20231207,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD, VI",,
v1,20231207_REU-HERMITAGE_ASV-1_03,REU,Hermitage,20231207,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD, VI",,
v3,20231207_REU-HERMITAGE_ASV-1_04,REU,Hermitage,20231207,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD, VI","""filt_exclude_specific_timeUS"": [[1634042114, 1688042187]]",
v1,20231208_REU-ST-LEU_ASV-1_01,REU,Saint Leu,20231208,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD",,
v1,20231208_REU-ST-LEU_ASV-1_02,REU,Saint Leu,20231208,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD",,
v1,20231208_REU-ST-LEU_ASV-1_03,REU,Saint Leu,20231208,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD",,
v2,20231211_REU-SOURIS-BLANCHE_ASV-1_01,REU,Souris Blanche,20231211,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD, VI","Trop biscornu, pas d'heure pour les photos",
v1,20231213_REU-ETANG-SALE_ASV-1_01,REU,Etang Salé,20231213,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD",,
v1,20231213_REU-ETANG-SALE_ASV-1_02,REU,Etang Salé,20231213,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD",,
v1,20231213_REU-ETANG-SALE_ASV-1_03,REU,Etang Salé,20231213,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD",,
v2,20231213_REU-ETANG-SALE_ASV-1_04,REU,Etang Salé,20231213,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD",PPK Q2 96%,
v2,20231213_REU-ETANG-SALE_ASV-2_01,REU,Etang Salé,20231213,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD",Bathy inexploitable,
v1,20231215_REU-ST-LEU_ASV-1_01,REU,Saint Leu,20231215,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD, VI",,
v1,20231215_REU-ST-LEU_ASV-1_02,REU,Saint Leu,20231215,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD, VI",,
v1,20231215_REU-ST-LEU_ASV-1_03,REU,Saint Leu,20231215,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD, VI",,
v1,20231215_REU-ST-LEU_ASV-1_04,REU,Saint Leu,20231215,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202312_plancha_session,projet PLANCHA/BIOEOS,"SBO, MD, VI",,
v2,20240313_REU-ST-LEU_ASV-1_01,REU,Saint Leu,20240313,1,,PPK with a Reach base connected to Centipede,no,yes,yes,202403_plancha_session,,"VR, BA",Pas de bin,
v1,20240313_REU-ST-LEU_ASV-1_02,REU,Saint Leu,20240313,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202403_plancha_session,,"VR, BA",,
v1,20240314_REU-ST-LEU_ASV-1_01,REU,Saint Leu,20240314,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202403_plancha_session,,"VR, BA",,
v1,20240314_REU-ST-LEU_ASV-1_02,REU,Saint Leu,20240314,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202403_plancha_session,,"VR, BA",,
v2,20240314_REU-ST-LEU_ASV-1_03,REU,Saint Leu,20240314,1,,PPK with a Reach base connected to Centipede,no,yes,yes,202403_plancha_session,,"VR, BA",Pas de bin,
v2,20240315_REU-ST-LEU_ASV-1_01,REU,Saint Leu,20240315,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202403_plancha_session,,"VR, BA",Demi bathy,
v1,20240315_REU-ST-LEU_ASV-1_02,REU,Saint Leu,20240315,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202403_plancha_session,,"VR, BA",,
v1,20240315_REU-ST-LEU_ASV-1_03,REU,Saint Leu,20240315,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202403_plancha_session,,"VR, BA",,
v2,20240322_REU-TROU-DEAU_ASV-1_01,REU,TROU-DEAU,20240322,1,,PPK with a Reach base connected to Centipede,no,yes,yes,202403_plancha_session,,"VR, BA",Pas de bin,
v2,20240322_REU-TROU-DEAU_ASV-1_02,REU,TROU-DEAU,20240322,1,,PPK with a Reach base connected to Centipede,no,yes,yes,202403_plancha_session,,"VR, BA",Pas de bin,
v2,20240322_REU-TROU-DEAU_ASV-1_03,REU,TROU-DEAU,20240322,1,,PPK with a Reach base connected to Centipede,no,yes,yes,202403_plancha_session,,"VR, BA",Pas de bin,
v3,20240329_REU-TESSIER_ASV-1_01,REU,Tessier,20240329,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202403_plancha_session,,"VR, BA","""filt_exclude_specific_timeUS"": [[4108186276,4237986154]]",
v1,20240329_REU-TESSIER_ASV-1_02,REU,Tessier,20240329,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202403_plancha_session,,"VR, BA",,
v1,20240329_REU-TESSIER_ASV-1_03,REU,Tessier,20240329,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202403_plancha_session,,"VR, BA",,
v1,20240405_REU-TESSIER_ASV-1_01,REU,Tessier,20240405,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202404_plancha_session,,"VR, BA",,
v1,20240405_REU-TESSIER_ASV-1_02,REU,Tessier,20240405,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202404_plancha_session,,"VR, BA",,
v2,20240412_REU-TESSIER_ASV-1_01,REU,Tessier,20240412,1,,PPK with a Reach base connected to Centipede,no,yes,yes,202404_plancha_session,,"VR, BA",Pas de bin,
v3,20240412_REU-TESSIER_ASV-1_02,REU,Tessier,20240412,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202404_plancha_session,,"VR, BA","""filt_exclude_specific_timeUS"": [[523979821,614979649]]",
v1,20240419_REU-TROU-DEAU_ASV-1_01,REU,TROU-DEAU,20240419,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202404_plancha_session,,"VR, BA",,
v1,20240419_REU-TROU-DEAU_ASV-1_02,REU,TROU-DEAU,20240419,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202404_plancha_session,,"VR, BA",,
v1,20240419_REU-TROU-DEAU_ASV-1_03,REU,TROU-DEAU,20240419,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202404_plancha_session,,"VR, BA",,
v1,20240426_REU-ST-LEU_ASV-1_01,REU,Saint Leu,20240426,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202404_plancha_session,,"VR, VI, SB, MD",,
v1,20240426_REU-ST-LEU_ASV-1_02,REU,Saint Leu,20240426,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202404_plancha_session,,"VR, VI, SB, MD",,
v1,20240515_REU-TESSIER_ASV-1_01,REU,Tessier,20240515,1,,RGP Station,yes,yes,yes,202405_plancha_session,,"VR, BA",,
v1,20240515_REU-TESSIER_ASV-1_02,REU,Tessier,20240515,1,,RGP Station,yes,yes,yes,202405_plancha_session,,"VR, BA",,
v2,20240515_REU-TESSIER_ASV-1_03,REU,Tessier,20240515,1,,RGP Station,yes,yes,yes,202405_plancha_session,,"VR, BA",Q1 20%,
v1,20240517_REU-TROU-DEAU_ASV-1_01,REU,TROU-DEAU,20240517,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202405_plancha_session,,"VR, BA",,
v1,20240517_REU-TROU-DEAU_ASV-1_02,REU,TROU-DEAU,20240517,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202405_plancha_session,,"VR, BA",,
v1,20240517_REU-TROU-DEAU_ASV-1_03,REU,TROU-DEAU,20240517,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202405_plancha_session,,"VR, BA",,
v2,20240607_REU-HERMITAGE_ASV-1_01,REU,Hermitage,20240607,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202406_plancha_session,,"VR, BA","GCRMN, bathy pas top",
v1,20240607_REU-HERMITAGE_ASV-1_02,REU,Hermitage,20240607,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202406_plancha_session,,"VR, BA",GCRMN,
v1,20240628_REU-HERMITAGE_ASV-1_01,REU,Hermitage,20240628,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202406_plancha_session,,"VR, BA",GCRMN,
v1,20240628_REU-HERMITAGE_ASV-1_02,REU,Hermitage,20240628,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202406_plancha_session,,"VR, BA",GCRMN,
v1,20240628_REU-HERMITAGE_ASV-1_03,REU,Hermitage,20240628,1,,PPK with a Reach base connected to Centipede,yes,yes,yes,202406_plancha_session,,"VR, BA",GCRMN,
v0,20240708_REU-POINTE-DES-AIGRETTES_ASV-1_01,REU,Pointe des Aigrettes,20240708,2,,RGP Station,yes,no,no,202407_plancha_session,,"VI, MD, VR, SBO",GCRMN,
v1,20240715_REU-LA-SALINE_ASV-1_01,REU,La saline,20240715,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202407_plancha_session,,"VR, VI",,
v1,20240715_REU-LA-SALINE_ASV-1_02,REU,La saline,20240715,1,grid,PPK with a Reach base connected to Centipede,no,yes,yes,202407_plancha_session,,"VR, VI",Pas de bathy,
v1,20240715_REU-ST-LEU_ASV-1_01,REU,Saint Leu,20240715,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202407_plancha_session,,"VR, VI",,
v1,20240715_REU-ST-LEU_ASV-1_02,REU,Saint Leu,20240715,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202407_plancha_session,,"VR, VI",,
v1,20250414_REU-TROU-DEAU_ASV-1_01,REU,TROU-DEAU,20250414,1,linear,RGP Station,yes,yes,yes,202504_plancha_session,,"VI, MZ",,
v1,20250414_REU-TROU-DEAU_ASV-1_02,REU,TROU-DEAU,20250414,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202504_plancha_session,,"VI, MZ",,
v1,20250414_REU-TROU-DEAU_ASV-1_03,REU,TROU-DEAU,20250414,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202504_plancha_session,,"VI, MZ",,
v1,20250414_REU-TROU-DEAU_ASV-2_01,REU,TROU-DEAU,20250414,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202504_plancha_session,,"VI, MZ",,
v1,20250422_REU-TROU-DEAU_ASV-1_01,REU,TROU-DEAU,20250422,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202504_plancha_session,,"VI, MZ, ALR, JI, SBO",,
v1,20250422_REU-TROU-DEAU_ASV-1_02,REU,TROU-DEAU,20250422,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202504_plancha_session,,"VI, MZ, ALR, JI, SBO",,
v1,20250422_REU-TROU-DEAU_ASV-1_03,REU,TROU-DEAU,20250422,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202504_plancha_session,,"VI, MZ, ALR, JI, SBO",,
v1,20250422_REU-TROU-DEAU_ASV-2_01,REU,TROU-DEAU,20250422,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202504_plancha_session,,"VI, MZ, ALR, JI, SBO",,
v1,20250422_REU-TROU-DEAU_ASV-2_02,REU,TROU-DEAU,20250422,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202504_plancha_session,,"VI, MZ, ALR, JI, SBO",,
v1,20250425_REU-ST-LEU_ASV-1_01,REU,Saint Leu,20250425,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202504_plancha_session,,"VI, MZ",,
v1,20250425_REU-ST-LEU_ASV-1_02,REU,Saint Leu,20250425,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202504_plancha_session,,"VI, MZ",,
v1,20250425_REU-ST-LEU_ASV-1_03,REU,Saint Leu,20250425,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202504_plancha_session,,"VI, MZ",,
v1,20250425_REU-ST-LEU_ASV-2_01,REU,Saint Leu,20250425,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202504_plancha_session,,"VI, MZ",,
v1,20250425_REU-ST-LEU_ASV-2_02,REU,Saint Leu,20250425,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202504_plancha_session,,"VI, MZ",,
v1,20250425_REU-ST-LEU_ASV-2_03,REU,Saint Leu,20250425,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202504_plancha_session,,"VI, MZ",,
v1,20250515_REU-LA-SALINE_ASV-1_01,REU,La Saline,20250515,1,grid,PPK with a Reach base connected to Centipede,no,yes,yes,202505_plancha_session,,"MZ, ALR",,
v1,20250515_REU-LA-SALINE_ASV-1_02,REU,La Saline,20250515,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202505_plancha_session,,"MZ, ALR",,
v1,20250515_REU-LA-SALINE_ASV-1_03,REU,La Saline,20250515,1,grid,PPK with a Reach base connected to Centipede,no,yes,yes,202505_plancha_session,,"MZ, ALR",,
v1,20250515_REU-LA-SALINE_ASV-2_01,REU,La Saline,20250515,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202505_plancha_session,,"MZ, ALR",,
v1,20250515_REU-LA-SALINE_ASV-2_02,REU,La Saline,20250515,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202505_plancha_session,,"MZ, ALR",,
v1,20250519_REU-ST-LEU_ASV-1_01,REU,St Leu,20250519,1,grid,PPK with a Reach base connected to Centipede,no,yes,yes,202505_plancha_session,,MZ,,
v1,20250519_REU-ST-LEU_ASV-1_02,REU,St Leu,20250519,1,grid,PPK with a Reach base connected to Centipede,no,yes,yes,202505_plancha_session,,MZ,,
v1,20250519_REU-ST-LEU_ASV-2_01,REU,St Leu,20250519,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202505_plancha_session,,MZ,,